approval_rate,default_rate,expected_profit,npv,cumulative_reward,capital_usage_mean,reward_volatility,stability_index,threshold_volatility,controller,controller_type,scenario_name,seed,run_id,experiment_group
0.36803588290840417,0.11289288005131494,74424.93080884675,72583.61638699788,89159.34162552647,0.3916904866217576,16681.00170094986,5.994484462515436e-05,0.0,dqn,agent,base_market,11000,0,main
0.35939643347050754,0.10368956743002544,96275.1727444719,93944.4338147203,115623.64477149158,0.39019031056430814,7840.55039480601,0.00012752580161473777,0.0,dqn,agent,base_market,11001,1,main
0.36913357400722024,0.12469437652811736,51914.70555106483,49959.18831733112,60538.51599174746,0.40186875757237306,7625.850512442306,0.0001311157204888988,0.0,dqn,agent,base_market,11002,2,main
0.35815685361880384,0.10591293047433398,59570.72461276417,58121.39822602994,69963.48348564637,0.37548807169989584,10922.748003334567,9.154367161296118e-05,0.0,dqn,agent,base_market,11003,3,main
0.35566017547613954,0.12093862815884476,58151.072821951864,56354.11057758207,67646.57406161731,0.4123154536304954,11184.680361250152,8.94000157079615e-05,0.0,dqn,agent,drift,11100,0,main
0.34870317002881845,0.11633820724729815,59929.06801735141,57700.300080486624,70160.27148352734,0.3785164243323388,6844.212835378616,0.00014608749560446487,0.0,dqn,agent,drift,11101,1,main
0.3501852255393332,0.11885500933416304,51329.012981461135,49632.363130282676,57372.913553985905,0.40761332436217185,9189.377417383614,0.00010880945956675277,0.0,dqn,agent,drift,11102,2,main
0.37029789084583603,0.10745742806811509,73748.90571099734,71635.10989923346,87179.36475454118,0.4215973556389455,10198.642080532803,9.804265601717688e-05,0.0,dqn,agent,drift,11103,3,main
0.3449677265120727,0.13236313236313235,2143.510657376577,886.033171707945,-2425.0192951321114,0.41815707754215026,10508.020090357812,9.515635058282127e-05,0.0,dqn,agent,adverse_stress,11200,0,main
0.344993441189331,0.11406844106463879,54154.97635057642,52345.84270391656,62641.32299600207,0.4434668430182398,8090.915632393798,0.00012358013175480602,0.0,dqn,agent,adverse_stress,11201,1,main
0.3472690492245448,0.1262135922330097,16606.773978088793,15281.585928283246,15165.149186076218,0.4411313278135604,9739.004932582144,0.00010266935252309908,0.0,dqn,agent,adverse_stress,11202,2,main
0.35927859515899385,0.13474240422721268,7556.047842083117,5950.599840726968,4601.933114101135,0.4467425168811137,10334.99676121607,9.674925632255578e-05,0.0,dqn,agent,adverse_stress,11203,3,main
0.2967507384685299,0.1225114854517611,46383.64877339306,44879.41276378031,51072.15311373625,0.31378240612777675,6255.650598089457,0.00015982992566427825,0.0,dqn,agent,class_imbalance_shift,11300,0,main
0.2890546260834509,0.10669456066945607,90363.20990811402,88247.85116522056,104997.88907090142,0.34562645872952774,11964.822460533018,8.357135527443342e-05,0.0,dqn,agent,class_imbalance_shift,11301,1,main
0.29314525016530746,0.10751879699248121,55727.15773482868,54317.11601377133,62429.35436795893,0.3187112694837965,9870.832291549337,0.0001012983173200823,0.0,dqn,agent,class_imbalance_shift,11302,2,main
0.3006451612903226,0.10515021459227468,88189.18375598529,85777.7292231371,102923.37857562021,0.33383570024796116,9601.867959732126,0.00010413555660593455,0.0,dqn,agent,class_imbalance_shift,11303,3,main
0.3971750059851568,0.11633514165159735,58906.253145711176,57285.32840798466,69678.81631038693,0.3896422396628375,12172.314516853423,8.214689586928389e-05,0.0,dqn,agent,noise,11400,0,main
0.38977349181430815,0.11162255466052934,88373.63392981049,85640.55388354113,105071.24957332277,0.4234397925459149,12626.872823389074,7.918990110098524e-05,0.0,dqn,agent,noise,11401,1,main
0.4117647058823529,0.11538461538461539,50247.19661709398,48437.95822014647,59824.40496133373,0.4330651628135907,8363.41571064772,0.00011955407700827468,0.0,dqn,agent,noise,11402,2,main
0.4061982493494204,0.11706464764123471,105761.40893126042,103088.27103344465,128754.01517041869,0.41597091835399663,18354.87361254106,5.447847490716988e-05,0.0,dqn,agent,noise,11403,3,main
0.3935677926885701,0.0993533215755438,125045.40957945457,121976.72111299749,152469.3936446931,0.4206153044947102,11474.93748683869,8.713885041172989e-05,0.0,dqn,agent,split_policy_dynamics,11500,0,main
0.3990202627477177,0.10714285714285714,137086.13028444533,133886.12826616998,164331.53653661377,0.4330942506358146,17493.054654690084,5.716227711292214e-05,0.0,dqn,agent,split_policy_dynamics,11501,1,main
0.3813369223867205,0.10176470588235294,118199.2978618697,115224.66715991878,142200.86665295984,0.410084861783812,10913.063855472836,9.162489914318688e-05,0.0,dqn,agent,split_policy_dynamics,11502,2,main
0.3995276942893946,0.10424502955400322,124483.13919422922,121500.46006789953,151009.27882184088,0.44381066142459813,10138.35574273285,9.862559568606979e-05,0.0,dqn,agent,split_policy_dynamics,11503,3,main
0.36803588290840417,0.11289288005131494,74424.93080884675,72583.61638699788,89159.34162552647,0.3916904866217576,16681.00170094986,5.994484462515436e-05,0.0,double_dqn,agent,base_market,11000,0,main
0.35939643347050754,0.10368956743002544,96275.1727444719,93944.4338147203,115623.64477149158,0.39019031056430814,7840.55039480601,0.00012752580161473777,0.0,double_dqn,agent,base_market,11001,1,main
0.36913357400722024,0.12469437652811736,51914.70555106483,49959.18831733112,60538.51599174746,0.40186875757237306,7625.850512442306,0.0001311157204888988,0.0,double_dqn,agent,base_market,11002,2,main
0.35815685361880384,0.10591293047433398,59570.72461276417,58121.39822602994,69963.48348564637,0.37548807169989584,10922.748003334567,9.154367161296118e-05,0.0,double_dqn,agent,base_market,11003,3,main
0.35566017547613954,0.12093862815884476,58151.072821951864,56354.11057758207,67646.57406161731,0.4123154536304954,11184.680361250152,8.94000157079615e-05,0.0,double_dqn,agent,drift,11100,0,main
0.34870317002881845,0.11633820724729815,59929.06801735141,57700.300080486624,70160.27148352734,0.3785164243323388,6844.212835378616,0.00014608749560446487,0.0,double_dqn,agent,drift,11101,1,main
0.3501852255393332,0.11885500933416304,51329.012981461135,49632.363130282676,57372.913553985905,0.40761332436217185,9189.377417383614,0.00010880945956675277,0.0,double_dqn,agent,drift,11102,2,main
0.37029789084583603,0.10745742806811509,73748.90571099734,71635.10989923346,87179.36475454118,0.4215973556389455,10198.642080532803,9.804265601717688e-05,0.0,double_dqn,agent,drift,11103,3,main
0.3449677265120727,0.13236313236313235,2143.510657376577,886.033171707945,-2425.0192951321114,0.41815707754215026,10508.020090357812,9.515635058282127e-05,0.0,double_dqn,agent,adverse_stress,11200,0,main
0.344993441189331,0.11406844106463879,54154.97635057642,52345.84270391656,62641.32299600207,0.4434668430182398,8090.915632393798,0.00012358013175480602,0.0,double_dqn,agent,adverse_stress,11201,1,main
0.3472690492245448,0.1262135922330097,16606.773978088793,15281.585928283246,15165.149186076218,0.4411313278135604,9739.004932582144,0.00010266935252309908,0.0,double_dqn,agent,adverse_stress,11202,2,main
