approval_rate,default_rate,expected_profit,npv,cumulative_reward,capital_usage_mean,reward_volatility,stability_index,threshold_volatility,controller,controller_type,scenario_name,seed,run_id,experiment_group,ablation_name
0.8359301227573183,0.06325896639367411,498097.06209317275,488541.8434212876,597376.4580031559,0.7298652536780784,48712.32402358529,2.0528264495271043e-05,0.0,dqn,agent,base_market,11000,0,main,
0.8392775491540924,0.053391446472350855,569842.1062234185,559145.6047898376,687731.6488694674,0.7479161430608966,50733.697789404185,1.9710376597706815e-05,0.0,dqn,agent,base_market,11001,1,main,
0.8359657039711191,0.06396761133603239,540821.9483616209,530168.3929637489,651257.3318686474,0.7556104633765445,43165.44036362941,2.3166144615495477e-05,0.0,dqn,agent,base_market,11002,2,main,
0.8429136606935071,0.06460519050248481,476305.6364145166,467387.85109635803,571146.4183567333,0.7286617382759667,47168.54624129034,2.1200119137983987e-05,0.0,dqn,agent,base_market,11003,3,main,
0.8266638133961053,0.06575200621278798,524074.2788563691,513932.63150956586,631335.6841475081,0.7928978075106419,41487.05022940921,2.4103326005210538e-05,0.0,dqn,agent,drift,11100,0,main,
0.8180004433606739,0.07073170731707316,489367.20378178894,479186.9715121219,588400.6486242748,0.7477949835512476,37411.261882205705,2.6729204535896488e-05,0.0,dqn,agent,drift,11101,1,main,
0.8204401830464153,0.07091633466135458,491241.68925415387,481529.974747955,590660.1984649282,0.7788846693155184,43517.552631225786,2.2978705392018755e-05,0.0,dqn,agent,drift,11102,2,main,
0.8201782996303544,0.07237539766702014,475527.9111147273,465813.28642462345,570116.2497397002,0.7647946308167806,33608.862728063235,2.9753171207242978e-05,0.0,dqn,agent,drift,11103,3,main,
0.8010996892182644,0.07520143240823635,470950.41950040404,461278.29040205246,564391.5960228236,0.7986616109539492,35374.488223562155,2.8268161097319957e-05,0.0,dqn,agent,adverse_stress,11200,0,main,
0.8019239177962396,0.08042529989094875,416686.0845238166,408392.39873803477,498455.74385468644,0.8493747704544697,32218.769757858874,3.1036845002782344e-05,0.0,dqn,agent,adverse_stress,11201,1,main,
0.8078219824679703,0.0781858653311074,465306.94944070367,455768.2364597618,558480.9528602442,0.8459686484517293,37219.50229952058,2.6866913077980697e-05,0.0,dqn,agent,adverse_stress,11202,2,main,
