controller,scenario_name,interactive_week,cumulative_reward_mean,cumulative_reward_ci_lower,cumulative_reward_ci_upper
a2c,adverse_stress,0,-178.23723689767067,-221.45419334518812,-130.00334466138924
a2c,adverse_stress,1,-420.5819069468353,-493.13867725085396,-349.6915868214416
a2c,adverse_stress,2,-696.5836531450369,-793.3363506502545,-570.6666802968018
a2c,adverse_stress,3,-976.8086887961799,-1081.0549763047452,-832.7868525117727
a2c,adverse_stress,4,-1348.712804705092,-2252.648644103096,-585.4834355875624
a2c,adverse_stress,5,-886.9866890348808,-3241.404704709544,1422.7020998351475
a2c,adverse_stress,6,2723.612581413313,32.686206077959525,5397.537177176542
a2c,adverse_stress,7,6211.032427816851,3205.0875520838035,8463.181726477771
a2c,adverse_stress,8,17519.690779198816,12613.741017659651,21941.224801996545
a2c,adverse_stress,9,30791.387606704982,24275.640174353357,36495.473131127306
a2c,adverse_stress,10,40475.690037486784,34506.260407579044,46079.65302725088
a2c,adverse_stress,11,54730.95438282133,46142.970343398956,61638.87953160612
a2c,adverse_stress,12,75772.71307198335,64837.025412487106,85044.86328575974
a2c,adverse_stress,13,95923.84283447424,83130.07919785246,108183.73745036469
a2c,adverse_stress,14,113586.93002372906,100054.35326851891,126140.67352568451
a2c,adverse_stress,15,131141.7839769523,115805.90871595945,143713.7847411575
a2c,adverse_stress,16,150273.28298861554,132713.01739065428,164347.36101801012
a2c,adverse_stress,17,167211.51912325228,151546.09361740295,180581.5330494034
a2c,adverse_stress,18,178679.9741526268,163669.2443607357,192175.366825843
a2c,adverse_stress,19,195289.26486437468,176648.3077001411,213172.359617107
a2c,adverse_stress,20,208936.33234227242,190374.6890289969,224742.07850818956
a2c,adverse_stress,21,222389.59880922028,202140.15863953318,240859.09265319785
a2c,adverse_stress,22,237781.46381059094,216486.9300742838,255756.48583329679
a2c,adverse_stress,23,247615.5961284336,224728.6050022791,266924.51116448396
a2c,adverse_stress,24,258405.23270359982,232335.05972860195,279274.56594156055
a2c,adverse_stress,25,367550.584260808,353921.2620711291,384418.4702656856
a2c,base_market,0,-220.5281037233007,-264.32387862959496,-179.33083317396222
a2c,base_market,1,-526.9168639515048,-612.8182162986444,-427.3851890276995
a2c,base_market,2,-824.2277691450486,-937.9080793808282,-686.7171471363545
a2c,base_market,3,-1146.936509534837,-1285.1197691025477,-975.6373465899682
a2c,base_market,4,-921.6084905335541,-2045.7928563427506,-57.62325891274252
a2c,base_market,5,-390.34915206990974,-2501.641557769012,1661.0450982653767
a2c,base_market,6,883.8051334285778,-3590.717174701836,4549.205598847981
a2c,base_market,7,7802.922903334347,3931.7007919444873,11226.140931102032
a2c,base_market,8,15253.144985579578,10802.282199023879,18637.29015817369
a2c,base_market,9,24375.527656623988,20633.740105775614,28319.05172999752
a2c,base_market,10,37368.725953686655,34303.81039543399,40795.95711537908
a2c,base_market,11,51252.92309904862,44687.86199460353,57897.694432078904
a2c,base_market,12,69993.06500938356,62848.50132755686,76670.99084321808
a2c,base_market,13,89340.52737754071,81557.52144021187,97422.55339778839
a2c,base_market,14,107662.76661947358,97608.40465392351,116357.18707257515
a2c,base_market,15,125972.54645126336,113479.76739676218,136055.74258366888
a2c,base_market,16,147987.8336607853,136961.99551960453,157537.25253909724
a2c,base_market,17,163966.44159961524,151299.30779358192,175652.39363540983
a2c,base_market,18,179199.80681685315,165768.21682879425,190490.5222508883
a2c,base_market,19,198660.47391318702,184493.45568796174,210877.23483706047
a2c,base_market,20,213895.4331855162,201741.66198036246,225691.14351528295
a2c,base_market,21,228470.56225845325,214122.81681110372,240490.17370608958
a2c,base_market,22,244863.69893547983,229273.41618098653,260142.06920970557
a2c,base_market,23,259668.02312335916,244782.90630709982,275601.8963960105
a2c,base_market,24,277142.66439552937,260732.10092434008,296353.7589431594
a2c,base_market,25,439557.15692238923,407590.35234765016,472941.59131477156
a2c,class_imbalance_shift,0,-238.3795129846411,-292.5133992868429,-170.33627687175237
a2c,class_imbalance_shift,1,-427.4245938395945,-498.78463144182996,-318.0214173962895
a2c,class_imbalance_shift,2,-669.5837640728018,-765.6932185681709,-495.9218303865172
a2c,class_imbalance_shift,3,-942.0064628659189,-1069.5180953166525,-766.5673566799001
a2c,class_imbalance_shift,4,-991.6081123591944,-1893.6296862203906,-239.49069622935286
a2c,class_imbalance_shift,5,525.6260580732651,-1101.4084958278752,2101.382315486489
a2c,class_imbalance_shift,6,2907.894048765753,824.4861309541391,4559.572550830317
a2c,class_imbalance_shift,7,7850.048868951876,5418.064790558655,10912.298161951201
a2c,class_imbalance_shift,8,14702.317690960337,10403.713476324718,19816.539990467423
a2c,class_imbalance_shift,9,24457.694241090165,19856.170712913306,29156.567390699696
a2c,class_imbalance_shift,10,37196.219182669265,32100.2713383705,44248.99651511151
a2c,class_imbalance_shift,11,47991.50301354829,40857.82861795466,56740.26728951259
a2c,class_imbalance_shift,12,67388.86931971097,59129.11975407765,75435.64213490373
a2c,class_imbalance_shift,13,82775.51432506421,75772.42333269253,90582.51930286255
a2c,class_imbalance_shift,14,101214.57354933547,93235.44104950862,110210.50051919262
a2c,class_imbalance_shift,15,116335.61940632072,109446.34236184307,122453.54511602287
a2c,class_imbalance_shift,16,133819.26850676356,124611.52331474879,140682.88328324776
a2c,class_imbalance_shift,17,150399.23279801264,140108.02026648525,157786.85832692988
a2c,class_imbalance_shift,18,165076.61386432924,155402.25997487953,172758.479471047
a2c,class_imbalance_shift,19,180044.03938347512,167406.58578092288,189326.00182248684
a2c,class_imbalance_shift,20,198972.63836093445,187017.12423580737,207061.69065095903
a2c,class_imbalance_shift,21,217129.80303491096,206268.88255072982,226425.08439176145
a2c,class_imbalance_shift,22,229166.1781298489,220371.64664907783,238137.548317253
