approval_rate_current,approval_rate_new,approval_rate_repeat,expected_default_rate_current,realized_profit,realized_npv,rolling_realized_default_rate,rolling_profit_volatility,projected_capital_usage_ratio,outstanding_ratio,repeat_share_current,expected_profit_current,expected_npv_current,applications_current,accepted_current,accepted_new_current,accepted_repeat_current,realized_default_count,realized_paid_count,realized_recovered_count,threshold_new,threshold_repeat,scenario_name,interactive_week,absolute_week,origin_interactive,reward,profit_term,npv_term,risk_shaping_term,default_rate_penalty,approval_rate_penalty,capital_usage_penalty,volatility_penalty,terminal_profit,terminal_npv,controller,seed,run_id,cumulative_reward,cumulative_profit,cumulative_npv,controller_type,experiment_group,ablation_name
0.3956043956043956,0.035398230088495575,0.9855072463768116,0.11245160910918234,0.0,0.0,0.0,0.0,0.5632232198399112,0.5127502469103696,0.3791208791208791,3590.510953564408,3504.13707103774,182,72,4,68,0,0,0,85.0,35.0,base_market,0,8,True,-52.72701511003018,0.0,0.0,-3.9358063188213817,-0.0,-48.791208791208796,-0.0,-0.0,0.0,0.0,dqn,11000,0,-52.72701511003018,0.0,0.0,agent,main,
0.38064516129032255,0.04,1.0,0.1097404545633413,0.0,0.0,0.0,0.0,0.532839748571428,0.4916887091950766,0.3548387096774194,3018.942860037987,2946.354942359764,155,59,4,55,0,0,0,85.0,35.0,base_market,1,9,True,-82.5505933290718,0.0,0.0,-3.840915909716945,-0.0,-78.70967741935486,-0.0,-0.0,0.0,0.0,dqn,11000,0,-135.27760843910198,0.0,0.0,agent,main,
0.3793103448275862,0.01818181818181818,1.0,0.10606087843539248,0.0,0.0,0.0,0.0,0.5264511634869954,0.4784224019535969,0.367816091954023,4044.0232013480886,3949.794228568327,174,66,2,64,0,0,0,85.0,35.0,base_market,2,10,True,-85.09144109006633,0.0,0.0,-3.712130745238737,-0.0,-81.37931034482759,-0.0,-0.0,0.0,0.0,dqn,11000,0,-220.3690495291683,0.0,0.0,agent,main,
0.4107142857142857,0.019801980198019802,1.0,0.10800903216201221,0.0,0.0,0.0,0.0,0.5133085789239769,0.46278152376813836,0.39880952380952384,4335.7516835844835,4232.4995290787865,168,69,2,67,0,0,0,85.0,35.0,base_market,3,11,True,-22.351744697099,0.0,0.0,-3.780316125670427,-0.0,-18.571428571428573,-0.0,-0.0,0.0,0.0,dqn,11000,0,-242.72079422626732,0.0,0.0,agent,main,
0.45454545454545453,0.011764705882352941,1.0,0.10930624145893407,-416.80633246302455,-412.3476992575955,0.025,180.4824361856009,0.48385611995826683,0.4349054585476777,0.44805194805194803,3954.0968938340147,3860.1013143757787,154,70,1,69,1,9,0,85.0,35.0,base_market,4,12,True,-592.8098848193952,-416.80633246302455,-103.08692481439887,-3.8257184510626923,-0.0,-69.0909090909091,-0.0,-0.0,0.0,0.0,dqn,11000,0,-835.5306790456625,-416.80633246302455,-412.3476992575955,agent,main,
0.4050632911392405,0.04081632653061224,1.0,0.10980562643061641,-5367.041608657927,-5296.636149559131,0.065,2270.2223952921704,0.4518786500830169,0.4082838069971137,0.379746835443038,3186.4356362436447,3113.926771148166,158,64,4,60,4,21,0,85.0,35.0,base_market,5,13,True,-6724.9172606943,-5367.041608657927,-1324.1590373897827,-3.8431969250715743,-0.0,-29.87341772151897,-0.0,-0.0,0.0,0.0,dqn,11000,0,-7560.447939739963,-5783.847941120952,-5708.983848816726,agent,main,
0.4563758389261745,0.03571428571428571,1.0,0.10680692657292555,-5293.516873525135,-5220.497604119631,0.10666666666666666,2565.3060845127375,0.4410781519351243,0.39127644291912356,0.436241610738255,4397.334052864017,4294.84376350319,149,68,3,65,4,20,0,85.0,35.0,base_market,6,14,True,-6675.131194837445,-5293.516873525135,-1305.1244010299079,-3.738242430052394,-0.0,-72.75167785234903,-0.0,-0.0,0.0,0.0,dqn,11000,0,-14235.579134577409,-11077.364814646087,-10929.481452936358,agent,main,
0.4748603351955307,0.020833333333333332,1.0,0.1088302709123983,-4642.628425664117,-4594.572430215901,0.14512820512820512,2047.842515189884,0.4511887488158365,0.3957757931367027,0.46368715083798884,3810.87044784227,3722.3762988409903,179,85,2,83,4,22,0,85.0,35.0,base_market,7,15,True,-5910.4841033277735,-4642.628425664117,-1148.6431075539751,-3.80905948193394,-5.682840236686391,-109.72067039106147,-0.0,-0.0,0.0,0.0,dqn,11000,0,-20146.063237905182,-15719.993240310203,-15524.053883152257,agent,main,
0.35251798561151076,0.03225806451612903,1.0,0.10877253887240176,-16666.725778547367,-16395.65004631136,0.17467365967365966,5016.008724611578,0.40172321369327296,0.3668563193233606,0.33093525179856115,2943.311511177397,2874.1942433399377,139,49,3,46,12,42,1,85.0,35.0,base_market,8,16,True,-20931.31223932172,-16666.725778547367,-4098.91251157784,-3.8070388605340613,-26.902881559000438,-134.96402877697844,-0.0,-0.0,0.0,0.0,dqn,11000,0,-41077.3754772269,-32386.71901885757,-31919.703929463616,agent,main,
0.41025641025641024,0.017094017094017096,1.0,0.10549661254935087,2146.9820883066945,2025.9478457454272,0.15918346359522828,6753.554125200578,0.4251380568909238,0.3697984637560642,0.4,4855.516871285376,4744.517440776538,195,80,2,78,5,43,3,85.0,35.0,base_market,9,17,True,2616.471394442777,2146.9820883066945,506.4869614363568,-3.6923814392272805,-13.818094373867224,-19.487179487179485,-0.0,-0.0,0.0,0.0,dqn,11000,0,-38460.90408278412,-30239.736930550876,-29893.756083718188,agent,main,
