controller,controller_type,approval_rate_mean,approval_rate_ci_lower,approval_rate_ci_upper,default_rate_mean,default_rate_ci_lower,default_rate_ci_upper,expected_profit_mean,expected_profit_ci_lower,expected_profit_ci_upper,npv_mean,npv_ci_lower,npv_ci_upper,cumulative_reward_mean,cumulative_reward_ci_lower,cumulative_reward_ci_upper,capital_usage_mean_mean,capital_usage_mean_ci_lower,capital_usage_mean_ci_upper,reward_volatility_mean,reward_volatility_ci_lower,reward_volatility_ci_upper,stability_index_mean,stability_index_ci_lower,stability_index_ci_upper,threshold_volatility_mean,threshold_volatility_ci_lower,threshold_volatility_ci_upper,expected_profit_seed_std,cumulative_reward_seed_std
constraint_aware_weekly,baseline,0.36266182770240096,0.34635872243601346,0.3764364346903469,0.11660359501331374,0.11461305188025775,0.11869130631272831,75571.84310747772,65193.306084021955,82886.77753412128,73460.27076691606,63242.03415111269,80615.24432253746,88000.74875453132,74978.09437498283,97412.25827568314,0.39911267425600655,0.3881216698503096,0.4089410948271089,10838.099977357762,10084.57105119165,11567.605634937252,0.00010101699837103052,9.349118318161516e-05,0.00010810002206396777,9.599883408965619,9.362462383696162,9.900978450441293,39561.4338070216,50693.2079305906
double_dqn,agent,0.6315750284809503,0.583668404160689,0.688679300143952,0.15738213106906945,0.1489124099266655,0.1662640492284879,-49782.90999041808,-91414.46742843046,-21361.152663193116,-50491.8183167171,-91587.75171238696,-22445.132776621933,-79329.16057108516,-134583.14123849408,-42019.71624728581,0.6097366442106549,0.5716069646436419,0.6531107263888902,16868.082884349973,14717.465316052101,19422.464006449023,7.545835679411278e-05,6.887530606645462e-05,8.105322581738431e-05,0.0,0.0,0.0,149645.2969941546,195362.46563931045
dqn,agent,0.3934765231988727,0.38020501228168974,0.40587271984441625,0.11945536327716762,0.11670431511389336,0.12304053826068741,66946.81209163766,54313.61719683686,76334.09276396033,64815.05383055148,52333.461240394514,74083.89643523692,78198.39212225674,62256.88827467596,89965.21559102982,0.4280103473196716,0.4162889864997842,0.4409743461060478,11359.933107877803,10733.447078615836,12125.111506746382,9.52681518478854e-05,8.932379168220024e-05,0.0001000512164040847,0.0,0.0,0.0,50652.556289118846,63520.639893851905
ppo,agent,0.5713094989953156,0.5677254041010235,0.5743360633241744,0.1537383039848771,0.15059334220335882,0.157195776442021,12196.736031047372,-7705.250089760476,29497.83599005335,10632.972022466018,-9041.329783689445,27699.609788605878,4958.58955307115,-20464.761443448657,26463.441555414196,0.5583981069426892,0.5519880056640214,0.5652118745537591,14026.50473117992,13042.673453888323,15349.020565153434,7.94452002234482e-05,7.239161271996411e-05,8.441857033728776e-05,0.0,0.0,0.0,81057.42837087541,101109.3798210344
profit_oriented,baseline,0.3644317654514798,0.3463662103750851,0.3806774033244341,0.11692633844534378,0.11515143359830196,0.11917710913886917,76022.08495534318,66580.98489995715,83740.44134921474,73897.2491225658,64628.432489376675,81449.9774262886,88080.59504839373,75954.16895119665,97969.42762836977,0.4006834938875654,0.3883022277689236,0.4116671441067106,10868.091929892224,10151.796462784316,11609.244681345275,0.00010110252810391392,9.377691997956588e-05,0.00010850312905835136,9.834264467857846,9.553573703997545,10.140108680620296,38349.498204134004,49210.41490679236
risk_aware_weekly,baseline,0.45599248307048573,0.4466907288294517,0.46549358928344037,0.13130170411800038,0.1287227299646575,0.13446656734096782,57634.884044538805,41930.08400825613,69577.9974323629,55493.40767009174,40015.586661937996,67247.94362900146,61765.69797008407,41772.19025974139,76955.52508370556,0.48961903915690663,0.47989181398348174,0.49839044251161574,13052.365509533834,12454.861912143235,13643.445509045625,7.992555948046869e-05,7.637697927353963e-05,8.350357016324335e-05,2.0317076643090997,1.933265852638653,2.135965396788037,60667.47586513691,76312.01218445438
sac,agent,0.6117214548154684,0.5738147994136785,0.6495317683558627,0.16767786367762996,0.15796356472084674,0.17639216972086647,-72433.15111249339,-106897.96039806712,-37605.57830756266,-72741.57130204902,-106643.00238066449,-38441.08225367649,-105961.13052187681,-149632.738811062,-61636.09419710535,0.5865956263736584,0.5565300250786246,0.6128104447565108,17107.879517249654,14950.05596101708,19934.320169603572,7.65447157219033e-05,6.781726964166836e-05,8.495790515493441e-05,1.9269258815179053,1.6999938559103593,2.155221716631198,153296.7585587199,194850.3473874258
split_policy_static,baseline,0.6261782564935512,0.6226282427495271,0.62919534468191,0.1529777987697289,0.14992378215219707,0.15687949746753707,7905.420696454957,-16375.44687240502,24935.570173385193,6285.801252041243,-17668.363622060715,23042.25268831749,-4065.281165495355,-34656.151521283784,17376.037932065552,0.6106746205744051,0.6039369438765038,0.6180916713015908,15215.012626452733,14057.076027609899,16408.905613416333,7.20775506382424e-05,6.733111353864308e-05,7.685246869046959e-05,0.0,0.0,0.0,94885.73314237555,118733.25274311377
static_threshold,baseline,0.700213979580353,0.6962352636102113,0.7049335277327752,0.16527882812692837,0.16241184530539657,0.1695124974710411,-37264.68141359301,-64752.80343753441,-19326.268400436256,-38307.216152978384,-65416.711680393455,-20602.81015853152,-65029.48306289119,-99409.64307337014,-42334.11046960702,0.6661284410543428,0.6606398122749942,0.6732965278516134,15821.091308894778,14307.928975358624,17450.145255877425,7.300188529273609e-05,6.668767873666924e-05,7.822939639867914e-05,0.0,0.0,0.0,108560.89752512552,135792.4869929677
