controller,scenario_name,interactive_week,cumulative_profit_mean,cumulative_profit_ci_lower,cumulative_profit_ci_upper
constraint_aware_weekly,adverse_stress,0,0.0,0.0,0.0
constraint_aware_weekly,adverse_stress,1,0.0,0.0,0.0
constraint_aware_weekly,adverse_stress,2,0.0,0.0,0.0
constraint_aware_weekly,adverse_stress,3,0.0,0.0,0.0
constraint_aware_weekly,adverse_stress,4,-42.682668086187505,-1151.1108948658143,954.6231435435669
constraint_aware_weekly,adverse_stress,5,-430.6377120659021,-1858.4171744414696,1062.5335455489037
constraint_aware_weekly,adverse_stress,6,-1485.5686937909923,-3390.829443104407,885.1120251898647
constraint_aware_weekly,adverse_stress,7,-3972.263942039354,-6796.240263236057,-1182.3837338472845
constraint_aware_weekly,adverse_stress,8,-3741.2915103847554,-6994.928269475146,-1096.2814074315497
constraint_aware_weekly,adverse_stress,9,-2426.0014517742206,-7419.207824320245,1425.6067489047812
constraint_aware_weekly,adverse_stress,10,-6026.528659613231,-10606.640796730082,-598.5921949272742
constraint_aware_weekly,adverse_stress,11,-3818.922260750032,-10428.065438849519,3662.9403607539966
constraint_aware_weekly,adverse_stress,12,-1653.6639924488873,-9384.172054339446,6133.668595244616
constraint_aware_weekly,adverse_stress,13,1684.0971780637028,-5388.113021549898,9105.970475269625
constraint_aware_weekly,adverse_stress,14,517.824586117387,-6726.149159829505,7264.989141720517
constraint_aware_weekly,adverse_stress,15,6503.312204068781,-2925.662026109658,14035.94128453566
constraint_aware_weekly,adverse_stress,16,9447.552098951064,371.6248373489731,18402.892803208215
constraint_aware_weekly,adverse_stress,17,14148.505404032172,4724.627435623718,23641.002484393248
constraint_aware_weekly,adverse_stress,18,15351.440719460406,5401.289215308361,25024.358019194406
constraint_aware_weekly,adverse_stress,19,18825.05472877557,8014.905626583967,30825.614790823434
constraint_aware_weekly,adverse_stress,20,18551.662031014097,10312.720331371442,27813.8702624936
constraint_aware_weekly,adverse_stress,21,18332.714486663248,9893.263295020075,27502.26880643366
constraint_aware_weekly,adverse_stress,22,18802.771249911344,10946.145670132943,28212.630418050823
constraint_aware_weekly,adverse_stress,23,20816.12013032385,13581.42944700252,29100.240226017046
constraint_aware_weekly,adverse_stress,24,19951.78505997974,11388.77937087726,28060.669839682043
constraint_aware_weekly,adverse_stress,25,27071.092989777466,18221.547922640322,34624.475099529
constraint_aware_weekly,base_market,0,0.0,0.0,0.0
constraint_aware_weekly,base_market,1,0.0,0.0,0.0
constraint_aware_weekly,base_market,2,0.0,0.0,0.0
constraint_aware_weekly,base_market,3,0.0,0.0,0.0
constraint_aware_weekly,base_market,4,58.00158012465221,-921.1197056369256,828.42579217601
constraint_aware_weekly,base_market,5,-732.3164687383684,-1743.6072228140426,506.8260460502631
constraint_aware_weekly,base_market,6,-1778.0338791771683,-3834.5036779694387,754.5664090586081
constraint_aware_weekly,base_market,7,-2885.1691134571042,-7481.767537185858,1596.5831124918234
constraint_aware_weekly,base_market,8,-5623.537035938455,-11331.253252631734,-374.5578535046537
constraint_aware_weekly,base_market,9,-6108.398034944133,-12712.778888097631,-616.8780950927077
constraint_aware_weekly,base_market,10,-3064.911996979214,-10531.089840778952,4310.77264100891
constraint_aware_weekly,base_market,11,598.3542954045057,-7237.977007638553,9330.837172836806
constraint_aware_weekly,base_market,12,3192.5450187564015,-3315.7201340299002,9565.78706270628
constraint_aware_weekly,base_market,13,3641.570305512841,-7061.220183184097,12700.677947936538
constraint_aware_weekly,base_market,14,9305.748265379852,1582.6634919940234,18919.995054800194
constraint_aware_weekly,base_market,15,15752.703821010933,8615.735219576458,23725.879892672834
constraint_aware_weekly,base_market,16,24987.014935794603,18415.53054964934,31940.570750134553
constraint_aware_weekly,base_market,17,27652.555688214663,19217.59144193717,35333.46071170575
constraint_aware_weekly,base_market,18,32220.9327290263,23073.286264025133,40171.93409049317
constraint_aware_weekly,base_market,19,39608.277724553474,29949.640618204365,47561.22384541495
constraint_aware_weekly,base_market,20,37489.091201831245,28886.668221408945,46014.03897180634
constraint_aware_weekly,base_market,21,42796.288170592,32723.9383893029,52855.90458800829
constraint_aware_weekly,base_market,22,43342.49777173614,30197.667758781758,54475.96146234127
constraint_aware_weekly,base_market,23,47978.18602148415,36735.068919563906,57558.241767207546
constraint_aware_weekly,base_market,24,52679.81111936113,40975.91704455947,61938.639473669886
constraint_aware_weekly,base_market,25,85434.21412187877,72345.22418891992,95202.65064700198
constraint_aware_weekly,class_imbalance_shift,0,0.0,0.0,0.0
constraint_aware_weekly,class_imbalance_shift,1,0.0,0.0,0.0
constraint_aware_weekly,class_imbalance_shift,2,0.0,0.0,0.0
constraint_aware_weekly,class_imbalance_shift,3,0.0,0.0,0.0
constraint_aware_weekly,class_imbalance_shift,4,-360.10418818677516,-1330.2299086242392,490.9344339879776
constraint_aware_weekly,class_imbalance_shift,5,-1051.5474033267487,-2786.874319421277,489.3393904937496
constraint_aware_weekly,class_imbalance_shift,6,-2804.0676508948327,-5416.256792793081,80.88118160347354
constraint_aware_weekly,class_imbalance_shift,7,-4519.499856612206,-9248.247108139469,-796.7854860595852
constraint_aware_weekly,class_imbalance_shift,8,-6638.515912604143,-12047.257996263828,-1592.6833425235018
constraint_aware_weekly,class_imbalance_shift,9,-5289.450296797928,-10585.201528373671,-780.1577777116503
constraint_aware_weekly,class_imbalance_shift,10,-1850.9768967451528,-7610.311115436517,3944.4279379681025
constraint_aware_weekly,class_imbalance_shift,11,-82.09387400267617,-5942.211386094134,7039.456121948964
constraint_aware_weekly,class_imbalance_shift,12,-921.4584029031506,-10021.375771648187,6929.57835872994
constraint_aware_weekly,class_imbalance_shift,13,386.7850668002361,-8344.781886578747,8483.620480435795
constraint_aware_weekly,class_imbalance_shift,14,5896.061684766806,42.07984191830651,13222.022009332803
constraint_aware_weekly,class_imbalance_shift,15,9118.762111816652,266.36512867805476,19139.05538904326
constraint_aware_weekly,class_imbalance_shift,16,14378.701463501171,6358.409172206423,23360.12291717362
constraint_aware_weekly,class_imbalance_shift,17,18662.497650000507,9470.053245888417,29423.751314648376
constraint_aware_weekly,class_imbalance_shift,18,22462.463395289757,13182.691414433035,32952.855669420416
constraint_aware_weekly,class_imbalance_shift,19,24254.74053055605,13791.097743560582,35968.329365063124
constraint_aware_weekly,class_imbalance_shift,20,30512.020146825645,18121.746102872738,42683.81728335548
constraint_aware_weekly,class_imbalance_shift,21,36073.20622200546,24908.995330480928,48880.1552855326
constraint_aware_weekly,class_imbalance_shift,22,38310.51201767313,28344.26335045178,51034.695436296235
constraint_aware_weekly,class_imbalance_shift,23,41791.49827877307,31315.313786355764,55219.07373068436
constraint_aware_weekly,class_imbalance_shift,24,43968.26663259445,30513.175908741778,58173.82117441841
constraint_aware_weekly,class_imbalance_shift,25,70649.2908114616,55971.142575084166,87167.8511947875
constraint_aware_weekly,drift,0,0.0,0.0,0.0
constraint_aware_weekly,drift,1,0.0,0.0,0.0
constraint_aware_weekly,drift,2,0.0,0.0,0.0
constraint_aware_weekly,drift,3,0.0,0.0,0.0
constraint_aware_weekly,drift,4,-1611.4118080962805,-3317.5004594358484,299.11107473136235
constraint_aware_weekly,drift,5,-3417.307212419708,-5557.612355581966,-902.5629271566933
constraint_aware_weekly,drift,6,-4051.661715481274,-6186.524368397191,-1581.6606422332127
constraint_aware_weekly,drift,7,-4755.549709567169,-7609.477784415586,-1623.2810648089414
constraint_aware_weekly,drift,8,-9136.12965874512,-13424.581184893661,-4411.081467962423
constraint_aware_weekly,drift,9,-6351.4914658624775,-9462.950539203213,-3771.635659620868
constraint_aware_weekly,drift,10,-3975.4997952690996,-6993.901294555308,-968.0149740902976
constraint_aware_weekly,drift,11,-1265.2520270359348,-3312.9280499458787,2288.6716824922105
constraint_aware_weekly,drift,12,4213.373917461607,-651.5885007153498,8982.531564061208
constraint_aware_weekly,drift,13,7957.087493495015,3500.094675180659,12151.95939834495
constraint_aware_weekly,drift,14,4238.9020502904605,-1005.5071733900243,11562.05399418018
constraint_aware_weekly,drift,15,8820.70119415875,3218.063428048615,15702.789279421606
constraint_aware_weekly,drift,16,10915.20311617168,3844.7297250399856,18873.409449009705
constraint_aware_weekly,drift,17,13562.391783254849,5556.01803521583,23321.240052621084
constraint_aware_weekly,drift,18,15922.609712885918,8562.748803804012,24707.17534203356
constraint_aware_weekly,drift,19,20287.634328074393,13350.392627191584,28435.815008652164
constraint_aware_weekly,drift,20,24156.323252874954,16441.656472197687,31829.093804634038
constraint_aware_weekly,drift,21,26165.940184315914,18682.541351700238,34395.876651786515
constraint_aware_weekly,drift,22,28827.751241803096,21302.31115988182,38851.02200013018
constraint_aware_weekly,drift,23,28744.90978347157,18750.686509745607,38667.97241995694
constraint_aware_weekly,drift,24,31756.745388022606,23488.041350451662,41715.50073578994
constraint_aware_weekly,drift,25,56567.26425773374,45842.885208163774,67360.22343644126
constraint_aware_weekly,noise,0,0.0,0.0,0.0
constraint_aware_weekly,noise,1,0.0,0.0,0.0
constraint_aware_weekly,noise,2,0.0,0.0,0.0
constraint_aware_weekly,noise,3,0.0,0.0,0.0
constraint_aware_weekly,noise,4,-1373.6549610992042,-2345.9616997094327,-249.3107031329345
constraint_aware_weekly,noise,5,-2277.934272145274,-4804.381882766928,452.7418032021069
constraint_aware_weekly,noise,6,-3190.296582677586,-5413.272034672973,-1144.2306167440784
constraint_aware_weekly,noise,7,-4752.825852564984,-9230.772465237658,-633.5135010927861
constraint_aware_weekly,noise,8,-1173.3840023782589,-5315.226240008266,2721.725663474093
constraint_aware_weekly,noise,9,-3234.3017049687714,-8530.124245316048,2177.249945523148
constraint_aware_weekly,noise,10,-2371.7867234604937,-11031.481625432047,6736.275222310496
constraint_aware_weekly,noise,11,-1725.5939130643153,-12811.054513302159,7969.032708285197
constraint_aware_weekly,noise,12,-1110.7633528547358,-12704.302679025875,7877.731065442709
constraint_aware_weekly,noise,13,4024.752728918394,-5769.501907044635,11253.915202718614
constraint_aware_weekly,noise,14,6556.566905283613,-3976.2654034632396,15585.508754117398
constraint_aware_weekly,noise,15,11893.174417759203,1798.3147954982621,21230.709137366855
constraint_aware_weekly,noise,16,18888.537000933033,7390.914018121401,29757.856086472057
