controller,controller_type,approval_rate_mean,approval_rate_ci_lower,approval_rate_ci_upper,default_rate_mean,default_rate_ci_lower,default_rate_ci_upper,expected_profit_mean,expected_profit_ci_lower,expected_profit_ci_upper,npv_mean,npv_ci_lower,npv_ci_upper,cumulative_reward_mean,cumulative_reward_ci_lower,cumulative_reward_ci_upper,capital_usage_mean_mean,capital_usage_mean_ci_lower,capital_usage_mean_ci_upper,reward_volatility_mean,reward_volatility_ci_lower,reward_volatility_ci_upper,stability_index_mean,stability_index_ci_lower,stability_index_ci_upper,threshold_volatility_mean,threshold_volatility_ci_lower,threshold_volatility_ci_upper,expected_profit_seed_std,cumulative_reward_seed_std
constraint_aware_weekly,baseline,0.36266182770240096,0.34635872243601346,0.3764364346903469,0.11660359501331374,0.11461305188025775,0.11869130631272831,75571.84310747772,65193.306084021955,82886.77753412128,73460.27076691606,63242.03415111269,80615.24432253746,88000.74875453132,74978.09437498283,97412.25827568314,0.39911267425600655,0.3881216698503096,0.4089410948271089,10838.099977357762,10084.57105119165,11567.605634937252,0.00010101699837103052,9.349118318161516e-05,0.00010810002206396777,9.599883408965619,9.362462383696162,9.900978450441293,39561.4338070216,50693.2079305906
double_dqn,agent,0.4168902229490695,0.3890502599596814,0.4412933461406084,0.1282488198168553,0.12474478607929233,0.13194373974987045,57467.87445959361,45128.19648308075,67851.26022808484,55475.24191068487,43289.83252369824,65622.97746790953,65247.13404105081,49622.89847536661,77904.18532378836,0.43962887003167356,0.4205879047888295,0.46251712700800524,11490.252138366817,10645.806969033012,12713.312418644884,9.73585332861224e-05,8.987765375786708e-05,0.00010423441804073428,0.0,0.0,0.0,55365.16491225534,69775.2051846572
dqn,agent,0.3527343147233185,0.3454300771167562,0.36035155939304725,0.11850127395853839,0.11589990295097827,0.12268136430533848,66758.28645504559,55964.817947684576,74805.68309225295,64755.07308487975,54088.33125943852,72688.19836917856,78219.69003877806,64701.87531853985,88508.18976354117,0.39019381252041757,0.3822820481167298,0.3989160322001552,10486.118482272244,9853.01573075716,11409.366489090662,0.00010345361888774711,9.580889708971226e-05,0.00010964814759545058,0.0,0.0,0.0,42925.0433886352,53983.56044848298
ppo,agent,0.5713094989953156,0.5677254041010235,0.5743360633241744,0.1537383039848771,0.15059334220335882,0.157195776442021,12196.736031047372,-7705.250089760476,29497.83599005335,10632.972022466018,-9041.329783689445,27699.609788605878,4958.58955307115,-20464.761443448657,26463.441555414196,0.5583981069426892,0.5519880056640214,0.5652118745537591,14026.50473117992,13042.673453888323,15349.020565153434,7.94452002234482e-05,7.239161271996411e-05,8.441857033728776e-05,0.0,0.0,0.0,81057.42837087541,101109.3798210344
profit_oriented,baseline,0.3644317654514798,0.3463662103750851,0.3806774033244341,0.11692633844534378,0.11515143359830196,0.11917710913886917,76022.08495534318,66580.98489995715,83740.44134921474,73897.2491225658,64628.432489376675,81449.9774262886,88080.59504839373,75954.16895119665,97969.42762836977,0.4006834938875654,0.3883022277689236,0.4116671441067106,10868.091929892224,10151.796462784316,11609.244681345275,0.00010110252810391392,9.377691997956588e-05,0.00010850312905835136,9.834264467857846,9.553573703997545,10.140108680620296,38349.498204134004,49210.41490679236
risk_aware_weekly,baseline,0.45599248307048573,0.4466907288294517,0.46549358928344037,0.13130170411800038,0.1287227299646575,0.13446656734096782,57634.884044538805,41930.08400825613,69577.9974323629,55493.40767009174,40015.586661937996,67247.94362900146,61765.69797008407,41772.19025974139,76955.52508370556,0.48961903915690663,0.47989181398348174,0.49839044251161574,13052.365509533834,12454.861912143235,13643.445509045625,7.992555948046869e-05,7.637697927353963e-05,8.350357016324335e-05,2.0317076643090997,1.933265852638653,2.135965396788037,60667.47586513691,76312.01218445438
sac,agent,0.3747978475265803,0.3247533391849595,0.42187682566307794,0.15354051488682174,0.14591806460869344,0.1618679106365911,-11904.249101139654,-34818.84757143419,6521.644983411078,-12593.571194036638,-35258.12884637777,5632.934223355312,-26218.310082675904,-55695.20930501368,-2582.235690721306,0.38586517633856954,0.3438928234905813,0.42617749411506717,10990.483673837916,9616.180164167792,12912.387568125207,0.0001143039454502279,0.00010403043731195621,0.0001241330441075095,2.6182782489914724,2.5165779355026667,2.7548723681771303,91318.12315436125,115637.84131239017
split_policy_static,baseline,0.6261782564935512,0.6226282427495271,0.62919534468191,0.1529777987697289,0.14992378215219707,0.15687949746753707,7905.420696454957,-16375.44687240502,24935.570173385193,6285.801252041243,-17668.363622060715,23042.25268831749,-4065.281165495355,-34656.151521283784,17376.037932065552,0.6106746205744051,0.6039369438765038,0.6180916713015908,15215.012626452733,14057.076027609899,16408.905613416333,7.20775506382424e-05,6.733111353864308e-05,7.685246869046959e-05,0.0,0.0,0.0,94885.73314237555,118733.25274311377
static_threshold,baseline,0.700213979580353,0.6962352636102113,0.7049335277327752,0.16527882812692837,0.16241184530539657,0.1695124974710411,-37264.68141359301,-64752.80343753441,-19326.268400436256,-38307.216152978384,-65416.711680393455,-20602.81015853152,-65029.48306289119,-99409.64307337014,-42334.11046960702,0.6661284410543428,0.6606398122749942,0.6732965278516134,15821.091308894778,14307.928975358624,17450.145255877425,7.300188529273609e-05,6.668767873666924e-05,7.822939639867914e-05,0.0,0.0,0.0,108560.89752512552,135792.4869929677
