controller,controller_type,approval_rate_mean,approval_rate_ci_lower,approval_rate_ci_upper,default_rate_mean,default_rate_ci_lower,default_rate_ci_upper,expected_profit_mean,expected_profit_ci_lower,expected_profit_ci_upper,npv_mean,npv_ci_lower,npv_ci_upper,cumulative_reward_mean,cumulative_reward_ci_lower,cumulative_reward_ci_upper,capital_usage_mean_mean,capital_usage_mean_ci_lower,capital_usage_mean_ci_upper,reward_volatility_mean,reward_volatility_ci_lower,reward_volatility_ci_upper,stability_index_mean,stability_index_ci_lower,stability_index_ci_upper,threshold_volatility_mean,threshold_volatility_ci_lower,threshold_volatility_ci_upper,expected_profit_seed_std,cumulative_reward_seed_std,state_dim
dqn,agent,0.4159499425810433,0.39608115708967245,0.4345387670388583,0.12327167731420803,0.1194356370582452,0.12767658256654107,59197.469988127355,43790.541674653956,69219.79916907499,57144.609356943845,41900.87798517888,67060.12903120133,67308.35923531056,47636.53944878868,80232.37780106821,0.4454344785152128,0.42852937579105016,0.4628118734983821,11734.706468600069,10983.96065065529,12556.055586461145,9.354449592763644e-05,8.696754135286428e-05,9.911439680242885e-05,0.0,0.0,0.0,57431.66576598221,72567.56957884687,12
double_dqn,agent,0.43290033698755914,0.40998296522644906,0.45464809274424883,0.12597268276147774,0.1223076657778087,0.1295834867143062,61096.43959690778,47009.824070929164,71966.55669317553,58978.97586644177,45094.17900199612,69676.7750057711,69812.01855778009,51929.468671267976,83065.3711381114,0.4569220531492468,0.4396511165844099,0.47505948252573793,12044.58146177293,11349.184405892714,13246.40366142485,9.207602359972744e-05,8.328458835519663e-05,9.703834329704853e-05,0.0,0.0,0.0,59435.9911939186,74785.71750186074,20
dqn,agent,0.3527343147233185,0.3454300771167562,0.36035155939304725,0.11850127395853839,0.11589990295097827,0.12268136430533848,66758.28645504559,55964.817947684576,74805.68309225295,64755.07308487975,54088.33125943852,72688.19836917856,78219.69003877806,64701.87531853985,88508.18976354117,0.39019381252041757,0.3822820481167298,0.3989160322001552,10486.118482272244,9853.01573075716,11409.366489090662,0.00010345361888774711,9.580889708971226e-05,0.00010964814759545058,0.0,0.0,0.0,42925.0433886352,53983.56044848298,30
dqn,agent,0.3934765231988727,0.38020501228168974,0.40587271984441625,0.11945536327716762,0.11670431511389336,0.12304053826068741,66946.81209163766,54313.61719683686,76334.09276396033,64815.05383055148,52333.461240394514,74083.89643523692,78198.39212225674,62256.88827467596,89965.21559102982,0.4280103473196716,0.4162889864997842,0.4409743461060478,11359.933107877803,10733.447078615836,12125.111506746382,9.52681518478854e-05,8.932379168220024e-05,0.0001000512164040847,0.0,0.0,0.0,50652.556289118846,63520.639893851905,50
