agent_name,seed,episode,cumulative_reward,scenario_name,expected_profit,default_rate,approval_rate,log_type,metadata
a3c,37,0,519488.1454441931,drift,,,,,{'loss': 0.26748010516166687}
a3c,37,1,446468.82293474564,adverse_stress,,,,,{'loss': 0.31311601400375366}
a3c,37,2,496562.1130716611,class_imbalance_shift,,,,,{'loss': 0.33101415634155273}
a3c,37,3,454755.2152638902,noise,,,,,{'loss': 0.3838133215904236}
a3c,37,4,640105.0017527925,split_policy_dynamics,,,,,{'loss': 0.4658558964729309}
a3c,37,5,504553.64278622397,base_market,,,,,{'loss': 0.47046124935150146}
a3c,37,6,549404.4687080631,drift,,,,,{'loss': 0.587888240814209}
a3c,37,7,400355.35005197837,adverse_stress,,,,,{'loss': 0.5909648537635803}
a3c,37,8,371133.8435610901,class_imbalance_shift,,,,,{'loss': 0.5458799004554749}
a3c,37,9,530827.6693199446,noise,,,,,{'loss': 0.6489898562431335}
a3c,37,10,508380.6417455333,split_policy_dynamics,,,,,{'loss': 0.6435674428939819}
a3c,37,11,578861.4737848786,base_market,,,,,{'loss': 0.6743783354759216}
a2c,37,validation,596104.7352165416,base_market,482741.7245555369,0.04988360492184902,0.49376026272577994,validation,
ppo,37,validation,682685.2962133881,base_market,555527.955093089,0.05448354143019296,0.5786535303776683,validation,
sac,37,validation,1019690.4332955743,base_market,852817.2352412138,0.06510067114093959,0.9786535303776683,validation,
